source,target
r-LakshmishRamaswamy,s-ShashiShekhar
r-LakshmishRamaswamy,94-4438
01-943,33-4411
01-943,94-4438
57-3185,94-4438
32-698,94-4438
32-698,22-835-1
32-698,s-RenukaSindhgatta
32-698,m-DebapriyoMajumdar
32-698,71-1647
k-ShivkumarKalyanaraman,s-IonStoica
k-ShivkumarKalyanaraman,77-1485
k-ShivkumarKalyanaraman,94-4438
k-ShivkumarKalyanaraman,06-8397
k-ShivkumarKalyanaraman,23-816
k-ShivkumarKalyanaraman,62-5169
k-ShivkumarKalyanaraman,55-1967
k-ShivkumarKalyanaraman,31-11538
23-4351,33-4411
23-4351,h-PeterJHaas
23-4351,t-WangChiewTan
23-4351,99-2497
98-5996,94-4438
85-6670,b-SSBhowmick
85-6670,a-DivyakantAgrawal
85-6670,o-BengChinOoi
85-6670,330-0760
85-6670,07-1181
85-6670,15-1669
85-6670,k-KKarlapalem
85-6670,w-JRWen
85-6670,70-6404
85-6670,48-2626-1
85-6670,p-TorbenBachPedersen
85-6670,11-1466
85-6670,l-ChengfeiLiu
85-6670,93-9012
85-6670,38-3523
85-6670,w-XiaoyangSeanWang
85-6670,22-835-1
85-6670,c-VTChakaravarthy
85-6670,159-9386
85-6670,71-1647
85-6670,68-1677
85-6670,k-KarinKailing
51-4800,330-0760
51-4800,16-5085
51-4800,94-4438
51-4800,93-9012
51-4800,96-3834
51-4800,c-VTChakaravarthy
51-4800,96-2418
85-3739,w-HaixunWang
85-3739,27-3375
85-3739,35-3834
74-7526,11-7555
74-7526,m-DebapriyoMajumdar
74-7526,71-1647
167-3360,75-6588-3
84-5102,j-AdamJatowt
84-5102,08-1790
84-5102,t-PeterTriantafillou
84-5102,88-1081
84-5102,29-7184
84-5102,75-6588-3
91-877,b-SrikantaJBedathur
91-877,97-5147
91-877,159-0466
91-877,330-0760
91-877,33-4411
91-877,70-6404
91-877,72-4662
91-877,r-MayaRamanath
91-877,12-1770-5
91-877,149-2405
91-877,38-768
91-877,21-5625
91-877,77-1485
91-877,93-9012
91-877,h-OktieHassanzadeh
91-877,11-7555
91-877,38-3523
91-877,96-3834
91-877,56-3378
91-877,218-9188
91-877,77-5034
91-877,22-835-1
91-877,96-2418
91-877,194-4909
91-877,188-6387
91-877,80-10462
91-877,56-451
91-877,210-0825
91-877,205-9137
117-2623,k-KarinKailing
117-2592,k-KarinKailing
117-2680,k-KarinKailing
117-2608,k-KarinKailing
52-1123,75-3512
52-1123,k-KarinKailing
03-1876,12-1770-5
03-1876,119-1402
65-2136-2,99-5856
65-2136-2,52-6987
65-2136-2,75-5002
65-2136-2,b-SrikantaJBedathur
65-2136-2,97-5147
65-2136-2,67-6469
65-2136-2,159-0466
65-2136-2,m-AnimeshMukherjee
65-2136-2,41-7272
65-2136-2,g-ManishGupta1
65-2136-2,k-KKarlapalem
65-2136-2,116-1678
65-2136-2,06-900-1
65-2136-2,70-6404
65-2136-2,03-4045
65-2136-2,r-MayaRamanath
65-2136-2,69-6680
65-2136-2,131-9628
65-2136-2,77-1485
65-2136-2,160-4306
65-2136-2,75-3512
65-2136-2,56-3378
65-2136-2,h-AlonYHalevy
65-2136-2,23-3743
65-2136-2,85-5637-1
65-2136-2,34-5594
65-2136-2,58-10813
65-2136-2,194-4909
65-2136-2,139-2312
65-2136-2,96-4770
291-3179,58-10813
331-3698,90-2736
331-3904,90-2736
59-5239,48-2626-1
59-5239,38-768
59-5239,14-3692
59-5239,22-835-1
150-1355,22-835-1
212-5893,52-6987
k-RaghuKrishnapuram,96-3834
k-RaghuKrishnapuram,96-2418
k-RaghuKrishnapuram,m-DebapriyoMajumdar
25-2370,05-264
25-2370,133-3638
25-2370,m-DebapriyoMajumdar
25-2370,k-KarinKailing
117-5940,s-SSudarshan1
117-5940,k-KarinKailing
33-6391,k-KarinKailing
117-6059,k-KarinKailing
224-9150,58-10813
224-9229,58-10813
224-9253,58-10813
224-9063,58-10813
21-7445,g-AristidesGionis
21-7445,57-10514
21-7445,07-1181
21-7445,42-5855
21-7445,l-FeifeiLi
21-7445,s-ASimitsis
21-7445,58-3771
04-2966,48-2626-1
04-2966,60-2319
04-2966,74-3195
04-2966,38-768
04-2966,l-BertramLudascher
04-2966,20-1055
04-2966,j-HVJagadish
04-2966,54-6752
04-2966,80-10462
136-7861,b-SrikantaJBedathur
175-4819,j-AdamJatowt
175-4819,z-XiaofangZhou
175-4819,75-6588-3
66-6214,b-CBhattacharyya
66-6214,94-4438
66-6214,31-11538
37-10649,12-1770-5
37-10649,c-VTChakaravarthy
s-LVenkataSubramaniam,b-SrikantaJBedathur
s-LVenkataSubramaniam,330-0760
s-LVenkataSubramaniam,33-4411
s-LVenkataSubramaniam,12-1770-5
s-LVenkataSubramaniam,94-4438
s-LVenkataSubramaniam,93-9012
s-LVenkataSubramaniam,38-3523
s-LVenkataSubramaniam,96-3834
s-LVenkataSubramaniam,22-835-1
s-LVenkataSubramaniam,c-VTChakaravarthy
s-LVenkataSubramaniam,96-2418
s-LVenkataSubramaniam,k-KarinKailing
169-7477,38-768
169-7477,127-3163
199-8157,b-SrikantaJBedathur
337-1030,b-SrikantaJBedathur
337-1030,46-8779
242-8477,03-505
242-8477,49-6363
242-8477,l-LinXuemin
242-8477,81-9436-1
242-8477,41-1074-1
242-8477,76-1735
242-8477,89-2619
242-8477,58-10813
243-5708,83-9923
39-4980-3,69-6680
72-11205,93-9012
72-11205,96-2418
78-6048,12-1770-5
78-6048,93-9012
52-7536,j-AdamJatowt
52-7536,b-SrikantaJBedathur
52-7536,41-7272
52-7536,56-4585
52-7536,h-PeterJHaas
52-7536,69-6680
52-7536,17-5085
52-7536,124-6911
52-7536,m-DebapriyoMajumdar
52-7536,129-8181
175-5573,58-10813
242-9289,90-2736
330-9104,90-2736
31-7537,s-RalfSchenkel
31-7537,w-GerhardWeikum
31-7537,t-MartinTheobald
31-7537,60-2319
31-7537,p-LucianPopa
31-7537,m-JosianeMothe
31-7537,94-4438
31-7537,58-1388
31-7537,119-1402
31-7537,188-9073
40-8342,52-6987
40-8342,32-1624
40-8342,272-4065
40-8342,76-3961
40-8342,139-2312
28-3904,188-3859
28-3904,w-KyuYoungWhang
28-3904,h-JiaweiHan
28-3904,77-709-1
28-3904,56-5324
28-3904,21-4024
28-3904,260-5718
28-3904,75-5729
28-3904,40-2555-3
28-3904,34-3036
28-3904,29-8750
28-3904,19-3001
28-3904,96-1136
28-3904,00-674
28-3904,61-4946-2
28-3904,145-9914
28-3904,164-1411
28-3904,62-2809
28-3904,180-9951
28-3904,242-5190
28-3904,135-4484
28-3904,221-4643
28-3904,217-5462
28-3904,204-3381
28-3904,65-2574
28-3904,179-5307
28-3904,74-11299
28-3904,l-ByungSukLee
28-3904,42-3152
28-3904,82-2651
28-3904,65-1664
28-3904,s-KyuseokShim
28-3904,14-2589
28-3904,188-3856
28-3904,43-7965
28-3904,97-2070
28-3904,160-8941
28-3904,153-5374
28-3904,86-1254
28-3904,67-6176
28-3904,242-5154
28-3904,273-0089
28-3904,95-1937
28-3904,156-4998
28-3904,34-10641
28-3904,50-5995
28-3904,33-3527
28-3904,17-11155
28-3904,61-9320
28-3904,89-9320
28-3904,05-11154
28-3904,22-1571
28-3904,k-MinSooKim2
28-3904,04-9919
28-3904,07-4483
28-3904,21-2457
28-3904,m-KonstantinosMorfonios
28-3904,37-276
28-3904,q-LinQiao
28-3904,16-6170
28-3904,84-3614
28-3904,s-KnutStolze
28-3904,129-1991
28-3904,32-1994
28-3904,28-5448
28-3904,273-0234
28-3904,230-3236
28-3904,357-0932
28-3904,69-2040
28-3904,s-IlYeolSong
28-3904,98-7439
28-3904,258-6519
28-3904,230-3981
28-3904,41-8001
28-3904,254-2564
28-3904,55-3521
28-3904,78-5133
28-3904,42-2490
28-3904,124-2785
28-3904,69-4250
28-3904,79-3711
28-3904,128-9669
28-3904,97-7677
28-3904,09-2409
28-3904,144-2879
28-3904,92-2762
28-3904,229-1809
28-3904,144-5421
28-3904,224-9222
28-3904,172-2902
28-3904,125-2052
28-3904,221-0675
28-3904,273-0239
28-3904,27-178
28-3904,24-2608
28-3904,135-4688
28-3904,31-3001
28-3904,135-4711
28-3904,48-6735
28-3904,47-8008
28-3904,137-3631
28-3904,48-3867
28-3904,88-836
28-3904,08-6525
28-3904,254-2634
28-3904,153-2052
28-3904,15-1412
28-3904,67-7788
28-3904,02-7123
28-3904,07-8089
28-3904,19-1764
28-3904,19-9309
28-3904,123-3201
28-3904,145-9971
28-3904,143-3555
28-3904,163-0171
28-3904,264-6398
28-3904,360-0276
28-3904,53-5414
28-3904,51-720
28-3904,180-1489
28-3904,37-6802-3
28-3904,201-3428
28-3904,227-3206
28-3904,227-2452
28-3904,227-2818
28-3904,23-8862
28-3904,48-1770
28-3904,366-5236
28-3904,366-5554
28-3904,366-4257
188-3859,13-4420
w-KyuYoungWhang,b-ElisaBertino
w-KyuYoungWhang,i-ZacharyGIves
w-KyuYoungWhang,a-AmrElAbbadi
w-KyuYoungWhang,o-MTamerOzsu
w-KyuYoungWhang,j-ChristianSJensen
w-KyuYoungWhang,a-GustavoAlonso
w-KyuYoungWhang,w-HaixunWang
w-KyuYoungWhang,13-4420
w-KyuYoungWhang,62-2450
w-KyuYoungWhang,b-PhilipABernstein
w-KyuYoungWhang,a-PAtzeni
h-JiaweiHan,82-6362-1
h-JiaweiHan,p-JianPei
h-JiaweiHan,g-JohannesGehrke
h-JiaweiHan,c-GrahamCormode
h-JiaweiHan,b-ElisaBertino
h-JiaweiHan,y-JXuYu
h-JiaweiHan,46-3522
h-JiaweiHan,t-KianLeeTan
h-JiaweiHan,g-AristidesGionis
h-JiaweiHan,14-716
h-JiaweiHan,m-VMarkl
h-JiaweiHan,o-BengChinOoi
h-JiaweiHan,f-MJFranklin
h-JiaweiHan,w-GerhardWeikum
h-JiaweiHan,70-11145
h-JiaweiHan,181-2667-5
h-JiaweiHan,11-6409
h-JiaweiHan,g-ManishGupta1
h-JiaweiHan,s-DiveshSrivastava
h-JiaweiHan,w-WeiWang
h-JiaweiHan,31-3455
h-JiaweiHan,a-AmrElAbbadi
h-JiaweiHan,72-4662
h-JiaweiHan,m-RJMiller
h-JiaweiHan,w-RaymondChiWingWong
h-JiaweiHan,w-KeWang
h-JiaweiHan,21-5967
h-JiaweiHan,l-LinXuemin
h-JiaweiHan,n-FrankNeven
h-JiaweiHan,s-DanSuciu
h-JiaweiHan,b-PeterABoncz
h-JiaweiHan,i-IhabFIlyas
h-JiaweiHan,v-VVassalos
h-JiaweiHan,36-195
h-JiaweiHan,w-HaixunWang
h-JiaweiHan,d-XinLunaDong
h-JiaweiHan,l-NinghuiLi
h-JiaweiHan,73-2015
h-JiaweiHan,60-2319
h-JiaweiHan,p-LucianPopa
h-JiaweiHan,77-1985
h-JiaweiHan,27-3375
h-JiaweiHan,z-XiaofangZhou
h-JiaweiHan,33-3180
h-JiaweiHan,19-4428
h-JiaweiHan,r-KARoss
h-JiaweiHan,t-AnthonyKHTung
h-JiaweiHan,k-AlfonsKemper
h-JiaweiHan,w-WeiWang9
h-JiaweiHan,69-339-1
h-JiaweiHan,s-AmbujKSingh
h-JiaweiHan,37-3868
h-JiaweiHan,a-AnastassiaAilamaki
h-JiaweiHan,08-6809-1
h-JiaweiHan,k-BenKao
h-JiaweiHan,c-KCCChang
h-JiaweiHan,67-4834-4
h-JiaweiHan,89-2619
h-JiaweiHan,s-JuliaStoyanovich
h-JiaweiHan,m-TovaMilo
h-JiaweiHan,c-SurajitChaudhuri
h-JiaweiHan,04-10606
h-JiaweiHan,k-GeorgiaKoutrika
h-JiaweiHan,d-AnHaiDoan
h-JiaweiHan,k-NickKoudas
h-JiaweiHan,06-8315
h-JiaweiHan,s-TimosKSellis
h-JiaweiHan,j-HVJagadish
h-JiaweiHan,s-SSudarshan1
h-JiaweiHan,y-XifengYan
h-JiaweiHan,50-4597
h-JiaweiHan,169-8184
h-JiaweiHan,h-AlonYHalevy
h-JiaweiHan,77-2970-1
h-JiaweiHan,o-FatmaOzcan
h-JiaweiHan,85-5637-1
h-JiaweiHan,58-3771
h-JiaweiHan,05-6545
h-JiaweiHan,80-6889
h-JiaweiHan,09-404-1
h-JiaweiHan,32-6122
h-JiaweiHan,167-4770
h-JiaweiHan,14-8543
h-JiaweiHan,18-10886
h-JiaweiHan,170-5430
h-JiaweiHan,179-2728
h-JiaweiHan,k-FlipKorn
h-JiaweiHan,173-4598
h-JiaweiHan,200-8321
h-JiaweiHan,66-5923-8
h-JiaweiHan,49-8024
h-JiaweiHan,81-10578
77-709-1,37-3868
77-709-1,85-5637-1
77-709-1,80-6889
56-5324,j-ChristianSJensen
56-5324,37-3868
56-5324,h-AlonYHalevy
56-5324,85-5637-1
21-4024,r-EARundensteiner
21-4024,b-ElisaBertino
21-4024,36-195
21-4024,80-6521
21-4024,13-4420
260-5718,13-4420
75-5729,47-3542-1
75-5729,79-3108
75-5729,w-JRWen
75-5729,l-HuaLu
75-5729,p-TorbenBachPedersen
75-5729,c-LeiChen0002
75-5729,z-XiaofangZhou
75-5729,70-6862
75-5729,w-WeiWang11
75-5729,h-BingshengHe
75-5729,73-3928-1
75-5729,152-4895
75-5729,55-5031
75-5729,85-5637-1
40-2555-3,w-JRWen
40-2555-3,73-3928-1
29-8750,47-3542-1
29-8750,181-2689-1
29-8750,x-JianliangXu
29-8750,19-2405-1
29-8750,w-JRWen
29-8750,35-6569
29-8750,j-ChristianSJensen
29-8750,97-919-1
29-8750,l-HuaLu
29-8750,p-TorbenBachPedersen
29-8750,z-XiaofangZhou
29-8750,71-8700-1
29-8750,149-1281
29-8750,80-2732
29-8750,l-FeifeiLi
29-8750,97-3036
29-8750,77-377-2
29-8750,13-6769-1
29-8750,h-BingshengHe
29-8750,73-3928-1
29-8750,51-5793
29-8750,152-4895
29-8750,77-2970-1
29-8750,33-1903
29-8750,86-508-2
29-8750,127-6172-1
19-3001,w-JRWen
19-3001,70-6862
19-3001,73-3928-1
19-3001,87-7541
96-1136,w-JRWen
96-1136,73-3928-1
00-674,62-2450
00-674,w-StevenEuijongWhang
61-4946-2,w-StevenEuijongWhang
145-9914,i-StratosIdreos
145-9914,139-7927
145-9914,129-6927
145-9914,149-9304
164-1411,08-6809-1
204-3381,62-2450
204-3381,w-StevenEuijongWhang
179-5307,70-11145
179-5307,80-6889
l-ByungSukLee,m-VMarkl
l-ByungSukLee,p-EPitoura
l-ByungSukLee,13-4420
l-ByungSukLee,62-2450
l-ByungSukLee,w-XiaoyangSeanWang
65-1664,l-LinXuemin
65-1664,13-4420
s-KyuseokShim,l-WLehner
s-KyuseokShim,g-JohannesGehrke
s-KyuseokShim,g-MinosNGarofalakis
s-KyuseokShim,g-AristidesGionis
s-KyuseokShim,x-JianliangXu
s-KyuseokShim,s-DiveshSrivastava
s-KyuseokShim,l-LinXuemin
s-KyuseokShim,b-ABonifati
s-KyuseokShim,80-2651
s-KyuseokShim,13-4420
s-KyuseokShim,c-LeiChen0002
s-KyuseokShim,z-XiaofangZhou
s-KyuseokShim,62-2450
s-KyuseokShim,l-FeifeiLi
s-KyuseokShim,73-3928-1
s-KyuseokShim,c-SurajitChaudhuri
s-KyuseokShim,k-NickKoudas
s-KyuseokShim,s-TimosKSellis
s-KyuseokShim,80-6889
14-2589,t-VincentSMTseng
14-2589,82-6362-1
14-2589,p-JianPei
14-2589,b-FBonchi
14-2589,l-LinXuemin
14-2589,80-2651
14-2589,13-4420
14-2589,c-LeiChen0002
14-2589,k-MasaruKitsuregawa
14-2589,w-WeiWang9
14-2589,08-6809-1
14-2589,73-3928-1
14-2589,29-11192
97-2070,s-DanSuciu
97-2070,52-1382
97-2070,h-BillHowe
97-2070,b-MagdalenaBalazinska
67-6176,b-ChristianBizer
50-5995,33-3180
50-5995,67-2933
50-5995,140-7434
50-5995,170-5430
33-3527,86-9726
33-3527,27-3375
33-3527,m-CMohan
33-3527,o-FatmaOzcan
33-3527,p-IppokratisPandis
33-3527,m-ReneMuller
33-3527,i-StratosIdreos
33-3527,07-11533
33-3527,r-VijayshankarRaman
17-11155,p-IppokratisPandis
17-11155,m-ReneMuller
17-11155,i-StratosIdreos
17-11155,r-VijayshankarRaman
61-9320,s-KaiUweSattler
61-9320,p-IppokratisPandis
61-9320,m-ReneMuller
61-9320,i-StratosIdreos
61-9320,r-VijayshankarRaman
89-9320,p-IppokratisPandis
89-9320,m-ReneMuller
89-9320,i-StratosIdreos
89-9320,r-VijayshankarRaman
05-11154,p-IppokratisPandis
05-11154,m-ReneMuller
05-11154,i-StratosIdreos
05-11154,r-VijayshankarRaman
22-1571,p-IppokratisPandis
22-1571,m-ReneMuller
22-1571,i-StratosIdreos
22-1571,r-VijayshankarRaman
k-MinSooKim2,62-2450
k-MinSooKim2,80-6889
k-MinSooKim2,p-IppokratisPandis
k-MinSooKim2,m-ReneMuller
k-MinSooKim2,i-StratosIdreos
k-MinSooKim2,r-VijayshankarRaman
04-9919,s-KaiUweSattler
04-9919,p-IppokratisPandis
04-9919,m-ReneMuller
04-9919,i-StratosIdreos
04-9919,r-VijayshankarRaman
07-4483,p-IppokratisPandis
07-4483,m-ReneMuller
07-4483,i-StratosIdreos
07-4483,r-VijayshankarRaman
21-2457,l-WLehner
21-2457,g-JohannesGehrke
21-2457,b-ElisaBertino
21-2457,m-VMarkl
21-2457,o-BengChinOoi
21-2457,f-MJFranklin
21-2457,w-GerhardWeikum
21-2457,s-DiveshSrivastava
21-2457,31-3455
21-2457,a-AmrElAbbadi
21-2457,m-RJMiller
21-2457,s-KaiUweSattler
21-2457,n-FrankNeven
21-2457,s-DanSuciu
21-2457,a-GustavoAlonso
21-2457,f-JCFreytag
21-2457,b-PeterABoncz
21-2457,h-PeterJHaas
21-2457,i-IhabFIlyas
21-2457,v-VVassalos
21-2457,86-9726
21-2457,27-3375
21-2457,62-2450
21-2457,l-QiongLuo
21-2457,r-KARoss
21-2457,s-KennethSalem
21-2457,20-1055
21-2457,m-CMohan
21-2457,k-AlfonsKemper
21-2457,a-AnastassiaAilamaki
21-2457,49-612
21-2457,n-JeffreyFNaughton
21-2457,m-TovaMilo
21-2457,c-SurajitChaudhuri
21-2457,k-HenryFKorth
21-2457,k-NickKoudas
21-2457,s-TimosKSellis
21-2457,j-HVJagadish
21-2457,s-SSudarshan1
21-2457,h-AlonYHalevy
21-2457,23-3743
21-2457,o-FatmaOzcan
21-2457,n-VivekRNarasayya
21-2457,p-IppokratisPandis
21-2457,m-ReneMuller
21-2457,i-StratosIdreos
21-2457,07-11533
21-2457,k-FlipKorn
21-2457,r-VijayshankarRaman
m-KonstantinosMorfonios,p-NeoklisPolyzotis
m-KonstantinosMorfonios,k-GeorgiaKoutrika
m-KonstantinosMorfonios,p-IppokratisPandis
m-KonstantinosMorfonios,m-ReneMuller
m-KonstantinosMorfonios,i-StratosIdreos
m-KonstantinosMorfonios,r-VijayshankarRaman
37-276,m-VMarkl
37-276,h-PeterJHaas
37-276,77-3753
37-276,p-IppokratisPandis
37-276,m-ReneMuller
37-276,i-StratosIdreos
37-276,r-VijayshankarRaman
q-LinQiao,a-DivyakantAgrawal
q-LinQiao,a-AmrElAbbadi
q-LinQiao,k-DonaldKossmann
q-LinQiao,h-PeterJHaas
q-LinQiao,20-1055
q-LinQiao,49-612
q-LinQiao,p-IppokratisPandis
q-LinQiao,m-ReneMuller
q-LinQiao,i-StratosIdreos
q-LinQiao,r-VijayshankarRaman
16-6170,p-IppokratisPandis
16-6170,m-ReneMuller
16-6170,i-StratosIdreos
16-6170,r-VijayshankarRaman
84-3614,l-WLehner
84-3614,k-DonaldKossmann
84-3614,86-9726
84-3614,27-3375
84-3614,m-CMohan
84-3614,o-FatmaOzcan
84-3614,98-3414-1
84-3614,p-IppokratisPandis
84-3614,m-ReneMuller
84-3614,i-StratosIdreos
84-3614,07-11533
84-3614,r-VijayshankarRaman
s-KnutStolze,g-GoetzGraefe
s-KnutStolze,s-KaiUweSattler
s-KnutStolze,b-PeterABoncz
s-KnutStolze,10-11150
s-KnutStolze,p-IppokratisPandis
s-KnutStolze,m-ReneMuller
s-KnutStolze,i-StratosIdreos
s-KnutStolze,r-VijayshankarRaman
28-5448,13-4420
69-2040,62-2450
s-IlYeolSong,w-HaixunWang
s-IlYeolSong,p-TorbenBachPedersen
s-IlYeolSong,13-4420
s-IlYeolSong,62-2450
s-IlYeolSong,h-SvenHartmann
s-IlYeolSong,g-MatteoGolfarelli
s-IlYeolSong,h-KatjaHose
s-IlYeolSong,s-ASimitsis
98-7439,62-2450
230-3981,w-StevenEuijongWhang
55-3521,51-1742
55-3521,124-6911
124-2785,263-9205-1
79-3711,181-2689-1
79-3711,263-9205-1
79-3711,55-5031
79-3711,131-2926
27-178,84-114
27-178,46-3522
27-178,14-716
27-178,69-339-1
27-178,08-6809-1
27-178,66-8700
27-178,50-4597
27-178,03-6702
27-178,18-4087-1
24-2608,s-KennethSalem
24-2608,34-6522-1
24-2608,p-IppokratisPandis
24-2608,m-ReneMuller
24-2608,i-StratosIdreos
24-2608,r-VijayshankarRaman
135-4688,l-JiahengLu
135-4688,26-6037
135-4688,58-1327
135-4688,175-1473
135-4688,131-4377
135-4688,p-IppokratisPandis
135-4688,m-ReneMuller
135-4688,i-StratosIdreos
135-4688,r-VijayshankarRaman
135-4688,82-11411
31-3001,m-VMarkl
31-3001,w-GerhardWeikum
31-3001,s-KaiUweSattler
31-3001,h-PeterJHaas
31-3001,s-KennethSalem
31-3001,a-AnastassiaAilamaki
31-3001,c-SurajitChaudhuri
31-3001,n-VivekRNarasayya
31-3001,p-IppokratisPandis
31-3001,m-ReneMuller
31-3001,i-StratosIdreos
31-3001,r-VijayshankarRaman
135-4711,p-IppokratisPandis
135-4711,m-ReneMuller
135-4711,i-StratosIdreos
135-4711,r-VijayshankarRaman
48-6735,50-3402-1
48-6735,35-7092-30
48-6735,p-IppokratisPandis
48-6735,m-ReneMuller
48-6735,i-StratosIdreos
48-6735,r-VijayshankarRaman
08-6525,t-VincentSMTseng
08-6525,82-6362-1
08-6525,p-JianPei
08-6525,k-MasaruKitsuregawa
08-6525,w-WeiWang9
153-2052,p-JianPei
153-2052,d-XinLunaDong
153-2052,s-JuliaStoyanovich
153-2052,80-6889
153-2052,170-5430
153-2052,200-8321
15-1412,46-3522
15-1412,37-3868
15-1412,67-4834-4
15-1412,05-6545
15-1412,09-404-1
67-7788,s-CyrusShahabi
67-7788,46-3522
67-7788,w-WeiWang
67-7788,89-2506-2
67-7788,63-9828
67-7788,80-2651
67-7788,37-3868
67-7788,08-6809-1
67-7788,50-4597
67-7788,55-5031
67-7788,32-6122
02-7123,46-3522
02-7123,37-3868
02-7123,67-4834-4
02-7123,09-404-1
07-8089,46-3522
53-5414,g-ManishGupta1
53-5414,36-195
53-5414,73-2015
53-5414,37-3868
53-5414,50-4597
53-5414,85-5637-1
j-AdamJatowt,29-5889
j-AdamJatowt,11-4619
j-AdamJatowt,148-7274
j-AdamJatowt,30-9957
j-AdamJatowt,83-5930
j-AdamJatowt,41-10716
j-AdamJatowt,43-6826
j-AdamJatowt,44-3648
j-AdamJatowt,144-7127
j-AdamJatowt,183-0646
j-AdamJatowt,b-AvdBosch
j-AdamJatowt,59-4006
j-AdamJatowt,59-1816
j-AdamJatowt,169-1792
j-AdamJatowt,30-3795
j-AdamJatowt,83-5350
j-AdamJatowt,64-5725-8
j-AdamJatowt,271-4717
j-AdamJatowt,132-1763
j-AdamJatowt,129-9499
j-AdamJatowt,216-7280
j-AdamJatowt,69-5902-16
j-AdamJatowt,38-8987
j-AdamJatowt,99-3777-1
j-AdamJatowt,24-9923
j-AdamJatowt,43-5146
j-AdamJatowt,276-5101
j-AdamJatowt,168-6216
